User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data,Test run no.: 769
Test name: Bradford,Date: 24/07/2024,Time: 15:29:52

Absorbance

Linear regression fit
No Concentrations

1. Protein concentration

,1,2,3,4,5,6,7,8,9,10,11,12,
A,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,
B,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,
C,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,
D,n.a.,n.a.,n.a.,,,,,,,,,
E,n.a.,n.a.,n.a.,,,,,,,,,
F,n.a.,n.a.,n.a.,,,,,,,,,
G,n.a.,n.a.,n.a.,,,,,,,,,
H,n.a.,n.a.,n.a.,,,,,,,,,

2. Raw Data (595)

,1,2,3,4,5,6,7,8,9,10,11,12,
A,0,314,0,318,0,34,0,339,0,395,,,,,,,
B,0,496,0,377,0,453,0,386,0,398,,,,,,,
C,0,34,0,42,0,402,0,387,0,381,,,,,,,
D,0,433,0,315,0,392,,,,,,,,,
E,0,371,0,535,0,382,,,,,,,,,
F,0,396,0,269,0,388,,,,,,,,,
G,0,411,0,376,0,394,,,,,,,,,
H,0,414,0,347,0,403,,,,,,,,,
