,t in s,t_seg in s,f in Hz,G' in Pa,"G"" in Pa",|η*| in mPas,ɣ in %,T in °C,----
1|1,241.8,60,0.1,3272,21090,33960000,0.02342,37, 
1|2,289.4,107.6,0.1259,3489,21460,27490000,0.023,37, 
1|3,327.3,145.5,0.1585,4482,20950,21510000,0.02332,37, 
1|4,357.3,175.6,0.1995,15940,16200,18130000,0.02165,37, 
1|5,381.2,199.4,0.2512,19910,8727,13780000,0.02174,37, 
1|6,400.2,218.4,0.3162,22770,1270,11480000,0.02192,37, 
1|7,415.2,233.5,0.3981,23300,1319,9329000,0.02143,37, 
1|8,447.2,265.4,0.5012,23340,1209,7421000,0.0214,37, 
1|9,472.5,290.7,0.631,23550,1256,5950000,0.0212,37, 
1|10,492.6,310.8,0.7943,23490,1321,4715000,0.02126,37, 
1|11,508.6,326.8,1,24050,1355,3833000,0.02077,37, 
1|12,521.3,339.5,1.259,23480,1327,2973000,0.02128,37, 
1|13,531.4,349.6,1.585,23890,1371,2403000,0.02092,37, 
1|14,539.4,357.6,1.995,24210,1523,1935000,0.02066,37, 
1|15,545.8,364,2.512,24420,1611,1550000,0.0205,37, 
1|16,550.8,369,3.162,24780,1769,1250000,0.02023,37, 
1|17,554.8,373,3.981,24940,1849,999900,0.02015,37, 
1|18,562.2,380.4,5.012,24910,1905,793400,0.02027,37, 
1|19,568.1,386.3,6.31,25220,2150,638500,0.02015,37, 
1|20,572.7,390.9,7.943,25330,2144,509300,0.02032,37, 
1|21,576.4,394.6,10,25470,2245,406900,0.02059,37, 
1|22,579.3,397.5,12.59,25760,2394,327000,0.02099,37, 
1|23,581.7,399.9,15.85,26110,2487,263400,0.02176,37, 
1|24,583.5,401.7,19.95,26370,2645,211400,0.02344,37, 
1|25,586.3,404.5,25.12,26570,2748,169200,0.02701,37, 
1|26,588.5,406.7,31.62,26540,2788,134300,0.03648,37, 
1|27,590.2,408.4,39.81,26070,2849,104900,0.08364,37, 
1|28,591.6,409.8,50.12,26060,2187,83030,0.06744,37, 
1|29,592.7,410.9,63.1,25640,603.2,64680,0.01897,37, 
1|30,593.6,411.8,79.43,25970,816.6,52070,0.008871,37, 
1|31,594.3,412.5,100,25050,2522,40070,0.004752,37, 
