SegIndex,Fn in N,η in mPas,h in mm,t in s,t_seg in s
1|90,1.454077721,0,1.237452496,31.84199905,0.9149990082
1|91,1.458726525,0,1.236702432,31.85199928,0.9249992371
1|92,1.467877507,0,1.236002427,31.86199951,0.9349994659
1|93,1.472445965,0,1.235252479,31.87199974,0.9449996948
1|94,1.477029085,0,1.234902418,31.88199997,0.9549999237
1|95,1.486293077,0,1.234602416,31.8920002,0.9650001526
1|96,1.490913153,0,1.234452473,31.90200043,0.9750003815
1|97,1.495490074,0,1.234302414,31.91200066,0.9850006104
1|98,1.504384398,0,1.234202296,31.92200089,0.9950008392
2|1,1.498283148,0,1.233852119,32.29700089,0.01499938965
2|2,1.495095611,0,1.234052121,32.30699921,0.02499771118
2|3,1.493501544,0,1.234502182,32.31700134,0.03499984741
2|4,1.49187839,0,1.235052245,32.32699966,0.04499816895
2|5,1.4884094,0,1.235802192,32.3370018,0.05500030518
2|6,1.486458421,0,1.236452255,32.34700012,0.06499862671
2|7,1.48429811,0,1.236952259,32.35699844,0.07499694824
2|8,1.481819034,0,1.237252261,32.36700058,0.08499908447
2|9,1.475833535,0,1.237402204,32.3769989,0.09499740601
2|10,1.472328663,0,1.237602206,32.38700104,0.1049995422
2|11,1.468513012,0,1.238002209,32.39699936,0.1149978638
2|12,1.460108519,0,1.238552271,32.4070015,0.125
2|13,1.455591083,0,1.239252277,32.41699982,0.1349983215
2|14,1.450828433,0,1.240052166,32.42699814,0.1449966431
2|15,1.440551996,0,1.240902115,32.43700027,0.1549987793
2|16,1.435004711,0,1.241552061,32.4469986,0.1649971008
2|17,1.429143906,0,1.242052065,32.45700073,0.1749992371
2|18,1.416432023,0,1.242302125,32.46699905,0.1849975586
2|19,1.409615517,0,1.242402126,32.47700119,0.1949996948
2|20,1.402573466,0,1.242702128,32.48699951,0.2049980164
2|21,1.39535749,0,1.243202132,32.49700165,0.2150001526
2|22,1.380576491,0,1.243852079,32.50699997,0.2249984741
2|23,1.373051167,0,1.244602026,32.51699829,0.2349967957
2|24,1.365448236,0,1.245451975,32.52700043,0.2449989319
2|25,1.349929571,0,1.246302039,32.53699875,0.2549972534
2|26,1.341963887,0,1.246902044,32.54700089,0.2649993896
2|27,1.333853364,0,1.247351989,32.55699921,0.2749977112
2|28,1.317310572,0,1.247602049,32.56700134,0.2849998474
2|29,1.308885694,0,1.24770205,32.57699966,0.2949981689
2|30,1.300376177,0,1.248101937,32.5870018,0.3050003052
2|31,1.291837215,0,1.248701941,32.59700012,0.3149986267
2|32,1.274818063,0,1.249301829,32.60699844,0.3249969482
2|33,1.266377807,0,1.250101835,32.61700058,0.3349990845
2|34,1.257965207,0,1.250851899,32.6269989,0.344997406
2|35,1.24119854,0,1.251601847,32.63700104,0.3549995422
2|36,1.232792974,0,1.252151909,32.64699936,0.3649978638
2|37,1.224365115,0,1.252451912,32.6570015,0.375
2|38,1.207460165,0,1.252601855,32.66699982,0.3849983215
2|39,1.19905746,0,1.252851915,32.67699814,0.3949966431
2|40,1.182492137,0,1.253501861,32.69200134,0.4099998474
2|41,1.174353004,0,1.254101866,32.70199966,0.4199981689
2|42,1.166345,0,1.254751929,32.7120018,0.4300003052
2|43,1.15065825,0,1.255551819,32.72200012,0.4399986267
2|44,1.142933011,0,1.256251824,32.73199844,0.4499969482
2|45,1.135215759,0,1.256801886,32.74200058,0.4599990845
2|46,1.119809389,0,1.257151831,32.7519989,0.469997406
2|47,1.112135053,0,1.257351716,32.76200104,0.4799995422
2|48,1.104521751,0,1.257501775,32.77199936,0.4899978638
2|49,1.089566588,0,1.25785172,32.7820015,0.5
2|50,1.082284451,0,1.258401782,32.79199982,0.5099983215
2|51,1.075114489,0,1.25900167,32.80199814,0.5199966431
2|52,1.068098426,0,1.259701676,32.81200027,0.5299987793
2|53,1.054337978,0,1.260401797,32.8219986,0.5399971008
2|54,1.047517657,0,1.261251746,32.83200073,0.5499992371
2|55,1.040741086,0,1.26185175,32.84199905,0.5599975586
2|56,1.027127981,0,1.262201811,32.85200119,0.5699996948
2|57,1.020272851,0,1.262351754,32.86199951,0.5799980164
2|58,1.013442755,0,1.262601814,32.87200165,0.5900001526
2|59,0.9999787807,0,1.263051759,32.88199997,0.5999984741
2|60,0.993371129,0,1.263651764,32.89199829,0.6099967957
2|61,0.9868581295,0,1.264351769,32.90200043,0.6199989319
2|62,0.9803947806,0,1.265151775,32.91199875,0.6299972534
2|63,0.9675862193,0,1.265901607,32.92200089,0.6399993896
2|64,0.9611933827,0,1.26665167,32.93199921,0.6499977112
2|65,0.9547730684,0,1.267201616,32.94200134,0.6599998474
2|66,0.941778183,0,1.267501619,32.95199966,0.6699981689
2|67,0.9352463484,0,1.267601619,32.9620018,0.6800003052
2|68,0.9287744164,0,1.26795168,32.97200012,0.6899986267
2|69,0.9160541892,0,1.268451684,32.98199844,0.6999969482
2|70,0.9098095298,0,1.269151689,32.99200058,0.7099990845
2|71,0.9036300778,0,1.269901637,33.0019989,0.719997406
2|72,0.8914589286,0,1.270651701,33.01200104,0.7299995422
2|73,0.8854188323,0,1.271451591,33.02199936,0.7399978638
2|74,0.8794052005,0,1.272001653,33.0320015,0.75
2|75,0.8733848333,0,1.272401656,33.04199982,0.7599983215
2|76,0.8613907695,0,1.272601658,33.05199814,0.7699966431
2|77,0.8554398417,0,1.2727516,33.06200027,0.7799987793
2|78,0.8495255709,0,1.273151604,33.0719986,0.7899971008
2|79,0.8379645944,0,1.273701666,33.08200073,0.7999992371
2|80,0.8323554993,0,1.27430167,33.09199905,0.8099975586
2|81,0.8268411756,0,1.274901675,33.10200119,0.8199996948
2|82,0.8160639405,0,1.27560168,33.11199951,0.8299980164
2|83,0.8107302785,0,1.276351511,33.12200165,0.8400001526
2|84,0.8054355979,0,1.276851515,33.13199997,0.8499984741
2|85,0.8001496196,0,1.277251518,33.14199829,0.8599967957
2|86,0.7895636559,0,1.277351519,33.15200043,0.8699989319
2|87,0.7843057513,0,1.277601579,33.16199875,0.8799972534
2|88,0.7790685892,0,1.278001582,33.17200089,0.8899993896
2|89,0.7687489986,0,1.27850147,33.18199921,0.8999977112
2|90,0.7588225007,0,1.279501477,33.1969986,0.9149971008
2|91,0.7540045977,0,1.27990148,33.20700073,0.9249992371
2|92,0.7492687106,0,1.280351658,33.21699905,0.9349975586
2|93,0.74008286,0,1.280601602,33.22700119,0.9449996948
2|94,0.7355955839,0,1.280801604,33.23699951,0.9549980164
2|95,0.7311573625,0,1.280951663,33.24700165,0.9650001526
2|96,0.7267998457,0,1.281101606,33.25699997,0.9749984741
2|97,0.7184403539,0,1.281251665,33.26699829,0.9849967957
2|98,0.7144619226,0,1.281351666,33.27700043,0.9949989319
3|1,0.706733644,0,1.279701479,33.64199829,0.01499938965
3|2,0.7065854669,0,1.280001481,33.65200043,0.02500152588
3|3,0.7062613964,0,1.279601478,33.66199875,0.03499984741
3|4,0.7057620287,0,1.279051532,33.67200089,0.04500198364
3|5,0.7045561075,0,1.27860147,33.68199921,0.05500030518
3|6,0.7040354013,0,1.278551528,33.69200134,0.06500244141
3|7,0.7036216855,0,1.278301585,33.70199966,0.07500076294
3|8,0.7031664252,0,1.277651521,33.7120018,0.08500289917
3|9,0.7031871676,0,1.276951516,33.72200012,0.0950012207
3|10,0.7034621835,0,1.276251511,33.73199844,0.1049995422
3|11,0.7047969699,0,1.275551505,33.74200058,0.1150016785
3|12,0.7059165835,0,1.274751499,33.7519989,0.125
